Island_Name,continent,Country,price,Acreage,latitude,longitude
Rangyai Island,Asia,Thailand,160000000,110,7.95439,98.447306
Spectabilis Island,North America,Bahamas,62000000,460,24.3580321,-76.5821528
Cave Cay,North America,Bahamas,60000000,222,23.90161109,-76.263142
Nengo Nengo Atoll,Europe,France,55778670,2223,-18.75310202,-141.8078964
Kandoo Island,Asia,Maldives,60000000,42,5.852108073,73.33656117
Vadinolhu Island Resort,North America,Maldives,NaN,19,2.017677168,73.35921793
Serenity Beaches Resort,South Pacific Ocean,Tonga,NaN,8,-19.85349112,-174.4123737
Igoigori Island,Oceania,Papua New Guinea,NaN,150,-10.72591195,150.2897003
Ngerbelas Island,Oceania,Palau,NaN,21,8.043057052,134.6996993
Big Scrub Island,Europe,United Kingdom,NaN,170,18.4678241,-64.5125777
Lovango Cay,North America,United States of America,NaN,5,18.3624533,-64.8037499
Tojo Una Una Island,Asia,Indonesia,NaN,3089,-0.745349089,121.7649526
Ginger Island,Europe,United Kingdom,NaN,258,18.3851746,-64.4777837
Praia do Algodão,South America,Brazil,NaN,29,-23.0057347,-44.3157591
Blunder Bay Estates,Europe,United Kingdom,NaN,1,18.4939059,-64.4022877
Mounu Island Resort,South Pacific Ocean,Tonga,NaN,7,-18.7512793,-174.0679451
Pelican Island,Caribbean,Antigua,NaN,32,17.10543694,-61.70393618
Isla Rancheria,Central America,Panama,NaN,310,8.26783,-82.422245
"Blackbook Listing
(2521)",,SVG,NaN,0,13.0100514,-61.2306446
Darby Island,North America,Bahamas,46000000,554,23.8495955,-76.2276337
"Blackbook Listing
(2106)",Asia,Turks and Caicos,NaN,0,21.85,-72.1166667
Motu Tane,europe,France,39000000,10,-16.4490481,-151.7630533
Organica Beach,Oceania,Panama,38000000,1492,8.309173447,-78.97023417
Villa Katsura,Europe,United Kingdom,NaN,3,18.48984276,-64.41457799
Little Ragged Island,North America,Bahamas,35000000,700,22.1649094,-75.7051647
Big Grand Cay Archipelago,North America,Bahamas,29000000,213,27.22157838,-78.3162855
Frozen Cay and Alder Cay,North America,Bahamas,29000000,84,25.54368054,-77.71368027
Bird Cay,North America,Bahamas,26000000,250,25.4003556,-77.815285
Kanacea Island,South Pacific Ocean,Fiji,26000000,3085,-17.263613,-179.151735
10 Kilometers Beachfront,Central America,Belize,NaN,2213,16.25372436,-88.58094174
Lighthouse Cay,North America,Bahamas,Off the Market,765,24.627201,-76.14727
Matana South Seas Plantation,South Pacific Ocean,Fiji,25000000,806,-17.26058769,179.3499755
Lera Cay,North America,Bahamas,24000000,80,24.7615833,-76.26819444
Leaf Cay Private Residences,North America,Bahamas,24000000,15,24.150151,-76.473169
Pakatoa Island,Oceania,New Zealand,NaN,60,-36.7961147,175.1939382
The Plantation,Central America,Belize,21000000,495,16.587928,-88.3626546
Half Moon Cay,Central America,Honduras,NaN,10,16.44171202,-85.8487786
Ile de Caille,Europe,Grenada,20000000,400,12.287246,-61.583143
Whale Cay,North America,Bahamas,Off the Market,575,25.41078957,-77.78529086
Jwycesska Island,North America,Bahamas,19000000,351,27.1206248,-78.0837346
Violin Island,North America,Mexico,18000000,321,18.8098599,-88.08766326
Gumelemi Cay,North America,Bahamas,Off the Market,8,26.7001865,-77.1767345
Frozen Cay,North America,Bahamas,17000000,40,25.54858434,-77.71307239
Hopkins Island,North America,United States of America,Off the Market,13,24.629443,-81.379735
World Island Project (D98),asia,United Arab Emirates,16000000,12,25.23106081,55.16747742
Palm Island,North America,United States of America,15500000,4,24.71244876,-81.10686047
Terra's Key,North America,United States of America,15000000,16,24.89268869,-80.6589413
"Blackbook Listing
(2602)",South Pacific Ocean,Fiji,NaN,0,-17.7765356,177.4356227
"Blackbook Listing
(2538)",Central America,Belize,NaN,0,17.5045661,-88.1962133
Alder Cay,North America,Bahamas,15000000,43,25.5368382,-77.7144461
Cebaco Island,Central America,Panama,15000000,7410,7.5527201,-81.0865035
Big Sampson Cay,North America,Bahamas,14500000,121,24.2122708,-76.4772748
Walker's Cay,North America,Bahamas,NaN,58,27.259665,-78.401442
Wavi Island,South Pacific Ocean,Fiji,NaN,27,-16.802836,179.4113086
Petit Nevis,,SVG,NaN,71,12.973634,-61.243501
Elizabeth Island Property,North America,Bahamas,14000000,38,23.50371226,-75.72022721
False Caye,Central America,Belize,12000000,60,16.60202345,-88.33885701
Saddleback Cay,North America,Bahamas,11800000,47,24.65410896,-76.81091309
Pepin Island,Oceania,New Zealand,11467068,1280,-41.1507105,173.4264652
The Duke Group Archipelago,Australia,Australia,11379153,3300,-21.983476,150.16094
Northern Aegean Island,Europe,Greece,NaN,34,37.99485182,24.25883961
Spalathronisi Island,Europe,Greece,11155734,26,40.02083644,23.80756466
Nakacha Huraa Lagoon,Asia,Maldives,11000000,29,4.344239685,73.39064277
Isla Puerco,Central America,Panama,11000000,160,8.367481612,-78.80789274
Kuramaadhoo Island,Asia,Maldives,10765283,44,5.873270623,73.14355549
Lambay Cay,Central America,Honduras,NaN,7,15.96111581,-86.47149515
"Blackbook Listing
(2096)",europe,Seychelles,NaN,0,-4.679574,55.491977
Young Island Resort,,SVG,10000000,13,13.13102202,-61.20260967
Blue Island,North America,Bahamas,NaN,700,23.39137402,-75.47457291
Lataro Island,South Pacific Ocean,Vanuatu,9995000,719,-15.26504,167.191537
Great Sale Cay,North America,Bahamas,9900000,370,26.9966296,-78.2105857
Lumber Cay,North America,Bahamas,9400000,30,24.16177499,-76.43001559
Jim Cay,North America,Bahamas,9000000,8,23.88347616,-76.25602703
Leaf Cay,North America,Bahamas,8500000,30,23.7861,-76.1271
Roberts Cay,North America,Bahamas,8000000,20,24.79663025,-76.83172742
Sandy Cay,North America,Bahamas,NaN,8,26.58372647,-77.00692411
Nukudrau Island,South Pacific Ocean,Fiji,NaN,46,-16.73481283,179.5813592
Sipson Island,North America,United States of America,7985000,25,41.73655372,-69.96322045
Devils Cay,North America,Bahamas,7950000,117,25.600664,-77.728615
Powell Cay,North America,Bahamas,7895000,294,26.9081888,-77.4773674
Kaashihulhudhoo Island,Asia,Maldives,7809014,38,0.488143835,72.9946243
Horse Island,Europe,Ireland,7530120,157,51.5163046,-9.4680023
Adavaci Island,South Pacific Ocean,Fiji,7500000,102,-17.20005219,-179.0071173
Petit Trou Peninsula,Europe,Grenada,7500000,50,12.02500832,-61.65944517
Parida Island,Central America,Panama,7500000,217,8.129464809,-82.33203874
Aese Island,South Pacific Ocean,Vanuatu,7500000,1690,-15.4316954,167.2491365
Sand Dollar Cay,North America,Bahamas,7200000,24,25.57000759,-77.72329343
Motu Rauoro,Europe,France,7137689,18,-16.57289759,-151.4435715
Sawyer's Cay,North America,Bahamas,7050000,6,25.539214,-76.805107
Bonefish Cay 135-acres,North America,Bahamas,7000000,14,26.89035728,-77.45121036
40-acre Beachfront Property on Ambergris Caye,Central America,Belize,6999500,40,18.001592,-87.9432837
Rai Ki Wai Estate,South Pacific Ocean,Fiji,NaN,47,-17.6160613,179.0012007
Vargas Island Lot,North America,Canada,6600000,65,49.20290006,-126.0364708
"Blackbook Listing
(2534)",North America,United States of America,NaN,0,18.335765,-64.896335
Motu Moie,Europe,France,6500000,20,-16.55814343,-151.5119238
Toberua Island Resort,South Pacific Ocean,Fiji,6200000,5,-17.9749062,178.7047
Maosonon Island,Asia,Philippines,NaN,112,11.24281773,119.6819884
Dao Island,Asia,Philippines,NaN,118,12.053276,119.793267
Kelefesia Island,South Pacific Ocean,Tonga,6000000,32,-20.50159302,-174.7357549
Johnny's Cay,North America,Bahamas,NaN,4,26.5677383,-76.972407
Janoyoy Island,Asia,Philippines,5600000,4,9.7546852,126.1312853
Manta Caye,Central America,Belize,NaN,8,16.71364949,-87.85164532
Pierre Island,North America,Bahamas,5495000,16,25.556148,-76.659508
"Blackbook Listing
(2107)",North America,Bahamas,NaN,0,26.8732996,-77.9038897
Hood Island,North America,Canada,NaN,4,48.71547279,-123.3728567
Fishermans Caye,Central America,Belize,4995000,42,16.67224098,-88.18980941
Tivi Island,South Pacific Ocean,Fiji,4995000,150,-16.27203553,179.4687919
Isla Brava,Central America,Panama,4600000,140,8.183084277,-82.25595583
Big Fish Cay,North America,Bahamas,4500000,55,27.0493621,-77.8374429
65-Acre Private Island Resort,Central America,Belize,4500000,7,17.57505727,-88.06418953
"Hawks Nest Cay, 26 acres",North America,Bahamas,4500000,26,25.74837226,-77.82012835
Valiha Island,Africa,Madagascar,4462294,950,-12.385039,48.70694
Montego Caye,Central America,Belize,4250000,119,17.58676973,-88.08263121
Four Islands in Panama,Central America,Panama,4000000,45,9.593418152,-79.66480579
1 Mandalay Island,North America,United States of America,3995000,3,27.1813275,-80.1868135
Puenta Vieja Parcel,Central America,Panama,3988000,30,9.293775185,-82.08274236
Wild Berry Cay,North America,Bahamas,3950000,100,25.4618921,-77.793122
Turtle Island Australia,Australia,Australia,NaN,23,-23.798903,151.26486
Petite Cay,North America,Bahamas,3750000,36,25.77258699,-77.83449938
Medio Island,Asia,Philippines,3500000,99,12.38,124.040556
Isla Bonita,South America,Brazil,3500000,20,-22.99182316,-43.91033297
Mai Island,South Pacific Ocean,Fiji,NaN,32,-16.199549,179.8364185
Wild Duck Island,Australia,Australia,3413746,300,-22.006397,149.8555
Dumunpalit Island,,,3400000,75,12.3830556,120.1172222
Fazenda Cipo Island,South America,Brazil,3346720,25,-13.76174421,-39.10269776
Kythnos Island parcel,Europe,Greece,3235163,187,37.3933984,24.4173321
Moho Caye,Central America,Belize,NaN,8,16.499695,-88.167182
The Carolina Cays,North America,United States of America,3200000,256,35.87920326,-75.63056954
Soneva Jani,Asia,Maldives,3000000,1,5.711668231,73.4150004
Soneva Fushi,Asia,Maldives,3000000,1,5.111997,73.078154
Islas Marias,Central America,Panama,3000000,27,7.709913692,-81.0713437
Pucoy Island,Asia,Philippines,3000000,141,11.7516371,119.9581538
Victor Island Escape,Australia,Australia,NaN,8,-21.32316435,149.322194
Nukanamo Island,South Pacific Ocean,Tonga,Off the Market,22,-19.7148956,-174.2762048
Kadomo Island,South Pacific Ocean,Fiji,2980000,70,-17.492508,177.0518092
High Cay,North America,Bahamas,2950000,31,23.94918102,-74.47672763
Palm Ridge Property,Europe,United Kingdom,2800000,5,18.42241287,-64.6209043
Turtle Caye,Central America,Belize,2700000,19,17.45553015,-88.0621995
Camp Island Silver Shoals Lodge,Australia,Australia,2655136,6,-19.84981274,147.9021199
Cedar Island,North America,United States of America,2645000,202,35.0070105,-76.3334372
Rainforest Caye,Central America,Belize,2600000,37,16.17889,-88.64083
Crescent Island,North America,United States of America,2599000,4,26.48836,-82.0881422
A Dream Come True Villa,Europe,United Kingdom,2500000,1,18.47156065,-64.41411892
Hog Island,North America,United States of America,2500000,600,34.99798588,-76.27692149
Cayo Geraldo,North America,United States of America,NaN,25,17.93586606,-66.29919113
South Cocoplum Caye,Central America,Belize,2500000,6,16.87458263,-88.12174074
Koro Levu Island,South Pacific Ocean,Fiji,2500000,8,-16.7666667,-179.9833333
Perpall Cayes,North America,Bahamas,2500000,158,23.466671,-75.833302
Morgans Caye,Central America,Belize,2500000,28,17.44995987,-88.07038551
Bull Island,North America,Canada,NaN,175,49.48533694,-124.1961406
Low Cay,North America,Bahamas,2300000,25,23.93885,-74.481318
Goat Island,North America,Canada,2156640,12,48.85054641,-123.4797544
Malvanua Island,South Pacific Ocean,Vanuatu,2048248,26,-15.36063942,167.1941274
Pilotin Island,South Pacific Ocean,Vanuatu,2000000,335,-15.28652964,167.2158695
San Miguel Archipelago,Central America,Panama,2000000,163,8.389341745,-78.18959325
Platanal Island,Central America,Panama,Off the Market,6,8.4447581,-79.0072883
Big Bullard Cay,North America,Bahamas,2000000,97,23.486761,-75.8111127
Tilagica Island,South Pacific Ocean,Fiji,1975000,53,-16.18825737,179.7783122
Bracilette Caye Parcel,Central America,Belize,1950000,48,18.050235,-87.943025
Davuilau Island,South Pacific Ocean,Fiji,1900000,54,-16.98021829,177.3273625
Isla Gallina,Central America,Panama,1850000,22,8.454191263,-78.93070394
Isla Lacao,South America,Chile,1600000,206,-41.808333,-73.618889
Tinabian Island,Asia,Philippines,1600000,99,12.93594173,121.708099
Castaway Island,South Pacific Ocean,Vanuatu,NaN,2,-15.61318414,167.1453821
Double Bay Islands,Central America,Honduras,1590000,1,16.09326334,-86.93247805
Quoin Island,Australia,Australia,1517220,12,-23.81211266,151.2863292
"Hawks Nest Cay, Cat Island",North America,Bahamas,1500000,42,24.14264198,-75.52117791
Pedro Island,Central America,Belize,1500000,3,18.10348223,-87.97037802
Jewfish Key,North America,United States of America,1500000,1,27.44269724,-82.67928746
Green Paradise Island,Asia,Philippines,1500000,32,10.2418,119.327
Deer Island,North America,United States of America,1499999,90,29.235797,-83.079014
xCasco Bay Islandx,North America,Canada,NaN,41,44.955627,-66.931286
Archipelago Resorts,Asia,Philippines,1450000,1,12.062152,119.877113
Kokomo Property,Europe,United Kingdom,1400000,3,18.46314012,-64.53645166
"Blue Island, Nova Scotia",North America,Canada,NaN,188,43.68193257,-65.17616137
Third Cay,North America,Bahamas,1350000,4,25.50274393,-76.63387944
Zuna Island,Australia,Australia,1300000,1,-10.7196645,142.2921816
Royal Sunset Island Resort,South Pacific Ocean,Tonga,1265000,9,-21.056082,-175.2575066
Camanga Island,Asia,Philippines,1257267,75,12.29851489,120.261611
Long Point Island,North America,United States of America,1250000,56,36.39923118,-75.95590126
Saints Bay Island,South America,Brazil,1240310,6,-12.83101963,-38.83541979
Kangaroo Island,Australia,Australia,NaN,410,-25.43044655,152.88147
Hatobanari Island,Asia,Japan,1200000,2,24.4188889,123.8211111
Casa Brisa by the Sea,Central America,Belize,NaN,3,17.955283,-87.982754
Punta Entrada,Central America,Panama,1200000,15,8.075169525,-81.73653894
Isla Tortuga,South America,Chile,1200000,309,-40.70216346,-73.80208802
Sumba Island Properties,Asia,Indonesia,NaN,5,-9.769974747,119.3669872
Surf Beach Property,Asia,Indonesia,NaN,4,-9.6993439,119.9740534
Goring Bogue Caye,Central America,Belize,1100000,6,17.42214126,-88.06983843
Jewfish Key Beachfront Lot,North America,United States of America,1100000,1,27.44383832,-82.68076818
Prince Cay,North America,Bahamas,NaN,9,26.95155712,-77.60854042
3-acre Parcel on Long Island,North America,Bahamas,1000000,3,23.467654,-75.22330296
Tavewa Island Property,South Pacific Ocean,Fiji,NaN,5,-16.9262847,177.3599795
Yellow Rock Island,Australia,Australia,1000000,330,-30.48133676,153.0258974
Johnston Island,North America,United States of America,NaN,12,44.02419477,-69.39096369
Blue Hole Cay,North America,Bahamas,995000,12,24.20563708,-77.60982513
