Island_Name,Acreage,continent,Country,latitude,longitude,price,Large Acreage,Ocean Island,Income Potential,Islands with Beaches
Rangyai Island,110,Asia,Thailand,7.95439,98.447306,160000000,yes,yes,yes,yes
Spectabilis Island,460,North America,Bahamas,24.3580321,-76.5821528,62000000,yes,yes,yes,yes
Cave Cay,222,North America,Bahamas,23.90161109,-76.263142,60000000,yes,yes,yes,yes
Nengo Nengo Atoll,2223,Europe,France,-18.75310202,-141.8078964,55778670,yes,yes,yes,yes
Kandoo Island,42,Asia,Maldives,5.852108073,73.33656117,Price Upon Request,yes,yes,yes,yes
Vadinolhu Island Resort,19,North America,Maldives,2.017677168,73.35921793,Joint Venture Opportunity,no,yes,yes,yes
Serenity Beaches Resort,8,South Pacific Ocean,Tonga,-19.85349112,-174.4123737,Price Upon Request,no,yes,no,yes
Igoigori Island,150,Oceania,Papua New Guinea,-10.72591195,150.2897003,Price Upon Request,yes,yes,no,yes
Ngerbelas Island,21,Oceania,Palau,8.043057052,134.6996993,Price Upon Request,yes,yes,no,yes
Big Scrub Island,170,Europe,United Kingdom,18.4678241,-64.5125777,Price Upon Request,yes,yes,yes,yes
Lovango Cay,5,North America,United States of America,18.3624533,-64.8037499,Price Upon Request,no,yes,yes,yes
Tojo Una Una Island,3089,Asia,Indonesia,-0.745349089,121.7649526,Price Upon Request,yes,yes,no,yes
Ginger Island,258,Europe,United Kingdom,18.3851746,-64.4777837,Under Contract,yes,yes,yes,yes
Praia do Algodão,29,South America,Brazil,-23.0057347,-44.3157591,Price Upon Request,no,yes,yes,yes
Blunder Bay Estates,1,Europe,United Kingdom,18.4939059,-64.4022877,Price Upon Request,no,yes,yes,yes
Mounu Island Resort,7,South Pacific Ocean,Tonga,-18.7512793,-174.0679451,Price Upon Request,no,yes,no,yes
Pelican Island,32,Caribbean,Antigua,17.10543694,-61.70393618,Sold,no,yes,yes,yes
Isla Rancheria,310,Central America,Panama,8.26783,-82.422245,Price Upon Request,yes,yes,no,yes
"Blackbook Listing
(2521)",0,,SVG,13.0100514,-61.2306446,Price Upon Request,yes,yes,no,yes
Darby Island,554,North America,Bahamas,23.8495955,-76.2276337,46000000,yes,yes,yes,yes
"Blackbook Listing
(2106)",0,Asia,Turks and Caicos,21.85,-72.1166667,Price Upon Request,yes,yes,yes,yes
Motu Tane,10,europe,France,-16.4490481,-151.7630533,39000000,no,yes,yes,yes
Organica Beach,1492,Oceania,Panama,8.309173447,-78.97023417,38000000,no,yes,no,yes
Villa Katsura,3,Europe,United Kingdom,18.48984276,-64.41457799,Price Upon Request,no,yes,yes,yes
Little Ragged Island,700,North America,Bahamas,22.1649094,-75.7051647,35000000,yes,yes,yes,yes
Big Grand Cay Archipelago,213,North America,Bahamas,27.22157838,-78.3162855,29000000,yes,yes,yes,yes
Frozen Cay and Alder Cay,84,North America,Bahamas,25.54368054,-77.71368027,29000000,yes,yes,yes,yes
Bird Cay,250,North America,Bahamas,25.4003556,-77.815285,26000000,yes,yes,no,yes
Kanacea Island,3085,South Pacific Ocean,Fiji,-17.263613,-179.151735,26000000,yes,yes,no,yes
10 Kilometers Beachfront,2213,Central America,Belize,16.25372436,-88.58094174,Price Upon Request,yes,yes,no,yes
Lighthouse Cay,765,North America,Bahamas,24.627201,-76.14727,Off the Market,yes,yes,yes,yes
Matana South Seas Plantation,806,South Pacific Ocean,Fiji,-17.26058769,179.3499755,25000000,yes,yes,no,yes
Lera Cay,80,North America,Bahamas,24.7615833,-76.26819444,24000000,no,yes,yes,yes
Leaf Cay Private Residences,15,North America,Bahamas,24.150151,-76.473169,24000000,no,yes,yes,yes
Pakatoa Island,60,Oceania,New Zealand,-36.7961147,175.1939382,Price Upon Request,yes,yes,no,yes
The Plantation,495,Central America,Belize,16.587928,-88.3626546,21000000,yes,yes,no,yes
Half Moon Cay,10,Central America,Honduras,16.44171202,-85.8487786,Price Upon Request,no,yes,yes,yes
Ile de Caille,400,Europe,Grenada,12.287246,-61.583143,20000000,yes,yes,yes,yes
Whale Cay,575,North America,Bahamas,25.41078957,-77.78529086,Off the Market,yes,yes,yes,yes
Jwycesska Island,351,North America,Bahamas,27.1206248,-78.0837346,19000000,yes,yes,no,yes
Violin Island,321,North America,Mexico,18.8098599,-88.08766326,18000000,yes,yes,no,yes
Gumelemi Cay,8,North America,Bahamas,26.7001865,-77.1767345,Off the Market,no,yes,yes,yes
Frozen Cay,40,North America,Bahamas,25.54858434,-77.71307239,17000000,no,yes,yes,yes
Hopkins Island,13,North America,United States of America,24.629443,-81.379735,Off the Market,no,yes,yes,yes
World Island Project (D98),12,asia,United Arab Emirates,25.23106081,55.16747742,16000000,no,yes,yes,yes
Palm Island,4,North America,United States of America,24.71244876,-81.10686047,15500000,no,yes,yes,yes
Terra's Key,16,North America,United States of America,24.89268869,-80.6589413,15000000,no,yes,yes,yes
"Blackbook Listing
(2602)",0,South Pacific Ocean,Fiji,-17.7765356,177.4356227,Price Upon Request,yes,yes,no,yes
"Blackbook Listing
(2538)",0,Central America,Belize,17.5045661,-88.1962133,Price Upon Request,yes,yes,yes,yes
Alder Cay,43,North America,Bahamas,25.5368382,-77.7144461,15000000,no,yes,yes,yes
Cebaco Island,7410,Central America,Panama,7.5527201,-81.0865035,15000000,yes,yes,yes,yes
Big Sampson Cay,121,North America,Bahamas,24.2122708,-76.4772748,14500000,yes,yes,yes,yes
Walker's Cay,58,North America,Bahamas,27.259665,-78.401442,Sold,yes,yes,yes,yes
Wavi Island,27,South Pacific Ocean,Fiji,-16.802836,179.4113086,Price Upon Request,yes,yes,yes,yes
Petit Nevis,71,,SVG,12.973634,-61.243501,Price Upon Request,yes,yes,yes,yes
Elizabeth Island Property,38,North America,Bahamas,23.50371226,-75.72022721,14000000,yes,yes,yes,yes
False Caye,60,Central America,Belize,16.60202345,-88.33885701,12000000,yes,yes,no,yes
Saddleback Cay,47,North America,Bahamas,24.65410896,-76.81091309,11800000,yes,yes,yes,yes
Pepin Island,1280,Oceania,New Zealand,-41.1507105,173.4264652,11467068,yes,yes,yes,yes
The Duke Group Archipelago,3300,Australia,Australia,-21.983476,150.16094,11379153,yes,yes,yes,yes
Northern Aegean Island,34,Europe,Greece,37.99485182,24.25883961,Price Upon Request,yes,yes,no,yes
