Unnamed: 0,Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
1,Rangyai Island,110,Thailand,7.954389999999999,98.44730600000001,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Ban Ko Kaeo,3.69,160000000.0
2,Pumpkin Key,26,United States of America,24.713197,-81.55425279999999,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,Cudjoe Key,4.54,95000000.0
3,Spectabilis Island,460,Bahamas,24.35803210000001,-76.58215279999997,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Arthur’s Town,60.1,62000000.0
4,Cave Cay,222,Bahamas,23.901611090339998,-76.26314199536101,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,George Town,40.22,60000000.0
5,Nengo Nengo Atoll,2223,France,-18.75310201788,-141.80789642334,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,Avarua,1178.3,55778670.24
40,Darby Island,554,Bahamas,23.8495955,-76.22763370000001,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,George Town,36.18,46000000.0
41,Dulichium Island,1335,Greece,38.414257277137,21.091775751343,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Astakós,8.4,44622936.19
43,Motu Tane,10,France,-16.4490481,-151.7630533,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Avarua,618.38,39000000.0
44,Organica Beach,1492,Panama,8.3091734471503,-78.970234166259,no,yes,no,no,yes,no,no,no,no,no,no,no,no,San Miguel,10.45,38000000.0
51,Little Ragged Island,700,Bahamas,22.1649094,-75.7051647,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Gibara,77.87,35000000.0
52,Big Grand Cay Archipelago,213,Bahamas,27.221578378814996,-78.31628549921899,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,High Rock,42.32,29000000.0
53,Frozen Cay and Alder Cay,84,Bahamas,25.543680537704,-77.713680267334,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,San Andros,39.08,29000000.0
54,Bird Cay,250,Bahamas,25.4003556,-77.815285,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,San Andros,27.33,26000000.0
55,Kanacea Island,3085,Fiji,-17.263613,-179.151735,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Lau Province,69.2,26000000.0
57,Nusa Riro,22,Solomon Islands,-8.2876215273616,157.13175418427,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,Gizo,23.57,25000000.0
59,Matana South Seas Plantation,806,Fiji,-17.260587688582,179.34997545459,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Cakaudrove Province,41.27,25000000.0
60,Lera Cay,80,Bahamas,24.7615833,-76.26819444444399,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,Arthur’s Town,38.67,24000000.0
61,Leaf Cay Private Residences,15,Bahamas,24.150151,-76.473169,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,Arthur’s Town,60.08,24000000.0
63,Captiva Key,13,United States of America,26.509387462845996,-82.184738017444,no,no,no,no,no,no,no,no,no,no,no,no,no,Saint James City,6.62,22000000.0
65,The Plantation,495,Belize,16.587927998458,-88.362654604315,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Placencia,5.1,21000000.0
68,Guafo Island,49422,Chile,-43.59305560000001,-74.7136111,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Quellón,64.14,20000000.0
69,Ile de Caille,400,Grenada,12.287246000000001,-61.58314300000001,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Sauteurs,6.08,20000000.0
72,Jwycesska Island,351,Bahamas,27.1206248,-78.08373459999999,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,High Rock,37.27,19000000.0
73,Violin Island,321,Mexico,18.809859895888,-88.087663257691,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Calderitas,20.71,18000000.0
75,Little Hawkins Island,3,United States of America,31.197381,-81.394983,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no,Saint Simon Mills,1.98,17800000.0
76,Frozen Cay,40,Bahamas,25.548584336378003,-77.71307239258999,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,San Andros,39.39,17000000.0
78,St Thomas,300,Greece,37.809622999999995,23.247124,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Ágioi Theódoroi,9.95,16733601.07
79,World Island Project (D98),12,United Arab Emirates,25.231060807557,55.167477416992,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,Dubai,13.84,16000000.0
80,Charles Island,55,Bahamas,25.540893,-76.748171,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,Spanish Wells,1.08,16000000.0
82,Palm Island,4,United States of America,24.712448758751997,-81.10686047486901,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Marathon,1.04,15500000.0
83,Terra's Key,16,United States of America,24.892688685289997,-80.65894130423,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,Islamorada,2.93,15000000.0
85,East Sister Rock,1,United States of America,24.687248045946003,-81.074581708598,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,Marathon,2.08,15000000.0
87,Alder Cay,43,Bahamas,25.5368382,-77.71444609999998,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,San Andros,38.66,15000000.0
88,Cebaco Island,7410,Panama,7.5527201,-81.0865035,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,Mariato District,10.34,15000000.0
89,Big Sampson Cay,121,Bahamas,24.212270800000002,-76.4772748,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,Arthur’s Town,58.08,14500000.0
94,Elizabeth Island Property,38,Bahamas,23.503712256995,-75.720227208398,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,George Town,4.3,14000000.0
97,False Caye,60,Belize,16.602023452031,-88.338857012537,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Placencia,6.34,12000000.0
98,Nananu-I-Cake,600,Fiji,-17.31839772771,178.23174825928,no,no,no,no,no,no,no,no,no,no,no,no,no,Ra Province,13.26,12000000.0
99,An Island Within An Island,14,Bahamas,26.504536409891,-78.656153578821,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Lucaya,2.09,12000000.0
101,Saddleback Cay,47,Bahamas,24.654108960511998,-76.810913085938,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Nassau,43.5,11800000.0
102,Pepin Island,1280,New Zealand,-41.150710499999995,173.42646519999997,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,Nelson,11.12,11467068.01
103,The Duke Group Archipelago,3300,Australia,-21.983476,150.16093999999995,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,Sarina,72.07,11379153.39
105,Spalathronisi Island,26,Greece,40.020836439853,23.807564664063,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Néos Marmarás,5.36,11155734.05
106,Nakacha Huraa Lagoon,29,Maldives,4.3442396845888,73.390642771936,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,Hulhumale,13.78,11000000.0
107,Isla Puerco,160,Panama,8.3674816117751,-78.807892735474,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,San Miguel,10.77,11000000.0
108,Batchawana Island,5200,Canada,46.892542575833,-84.518707020508,yes,no,no,no,no,no,no,no,yes,no,no,no,no,Sault Ste. Marie,27.41,10972379.87
109,Kuramaadhoo Island,44,Maldives,5.873270622952501,73.143555492065,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,Ugoofaaru,16.18,10765283.36
110,Keraamithaa Island,103,Maldives,0.390701,73.012837,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Thinadhoo,9.71,10765283.36
111,Deer Cay,603,Belize,18.098019096371,-87.95653867876,yes,yes,no,no,no,no,no,no,no,no,no,no,no,San Pedro,12.59,10500000.0
112,Thompson Island,5,United States of America,24.564164771563,-81.74923418437801,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,Stock Island,0.71,10495000.0
113,Tavernier Key,31,United States of America,24.997050346648003,-80.502186196729,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Tavernier,1.28,10149000.0
115,Toad Hall Estate,6,United Kingdom,18.430332699999997,-64.4435806,no,no,no,no,no,yes,no,yes,no,no,no,no,no,Saint Paul’s,127.21,10000000.0
117,Belle Island & Cubbage Island,264,United States of America,31.76382999047,-81.22067805659199,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,Midway,12.67,10000000.0
118,Young Island Resort,13,SVG,13.13102202381,-61.202609669998,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,Kingstown,2.37,10000000.0
120,Water Caye,567,Belize,17.384237,-88.064037,yes,yes,no,no,no,no,no,no,no,no,no,no,no,Belize City,11.87,10000000.0
121,Lataro Island,719,Vanuatu,-15.265039999999999,167.191537,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,Port-Olry,17.35,9995000.0
